ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_1157285_cov_11.809704,nomatch,,,,,,,,
NODE_2_length_647763_cov_11.765654,nomatch,,,,,,,,
NODE_3_length_643663_cov_11.868139,nomatch,,,,,,,,
NODE_4_length_605199_cov_11.837956,nomatch,,,,,,,,
NODE_5_length_587163_cov_11.941460,nomatch,,,,,,,,
NODE_6_length_586291_cov_12.022512,nomatch,,,,,,,,
NODE_7_length_577479_cov_11.970990,nomatch,,,,,,,,
NODE_8_length_544875_cov_11.790222,nomatch,,,,,,,,
NODE_9_length_516305_cov_11.607920,nomatch,,,,,,,,
NODE_10_length_504797_cov_11.767038,nomatch,,,,,,,,
NODE_11_length_456404_cov_11.803817,nomatch,,,,,,,,
NODE_12_length_426837_cov_11.927450,nomatch,,,,,,,,
NODE_13_length_426315_cov_11.805761,nomatch,,,,,,,,
NODE_14_length_410129_cov_11.853842,nomatch,,,,,,,,
NODE_15_length_394713_cov_11.753919,nomatch,,,,,,,,
NODE_16_length_392771_cov_11.772939,nomatch,,,,,,,,
NODE_17_length_385408_cov_11.779545,nomatch,,,,,,,,
NODE_18_length_377291_cov_11.762634,nomatch,,,,,,,,
NODE_19_length_373250_cov_11.812812,nomatch,,,,,,,,
NODE_20_length_372760_cov_11.878540,nomatch,,,,,,,,
NODE_21_length_366321_cov_11.915763,nomatch,,,,,,,,
NODE_22_length_363249_cov_11.827097,nomatch,,,,,,,,
NODE_23_length_360145_cov_11.832600,nomatch,,,,,,,,
NODE_24_length_355323_cov_11.823956,nomatch,,,,,,,,
NODE_25_length_347304_cov_11.779931,nomatch,,,,,,,,
NODE_26_length_344184_cov_11.808552,nomatch,,,,,,,,
NODE_27_length_342904_cov_11.829166,nomatch,,,,,,,,
NODE_28_length_340388_cov_11.653037,nomatch,,,,,,,,
NODE_29_length_339925_cov_11.836638,nomatch,,,,,,,,
NODE_30_length_331569_cov_11.912217,nomatch,,,,,,,,
NODE_31_length_327141_cov_11.839949,nomatch,,,,,,,,
NODE_32_length_321988_cov_11.864230,nomatch,,,,,,,,
NODE_33_length_318570_cov_11.848802,nomatch,,,,,,,,
NODE_34_length_317277_cov_10.856191,nomatch,,,,,,,,
NODE_35_length_311237_cov_11.915567,nomatch,,,,,,,,
NODE_36_length_305039_cov_11.939809,nomatch,,,,,,,,
NODE_37_length_301141_cov_11.857784,nomatch,,,,,,,,
NODE_38_length_300386_cov_11.729817,nomatch,,,,,,,,
NODE_39_length_300125_cov_11.965953,nomatch,,,,,,,,
NODE_40_length_299456_cov_11.898563,nomatch,,,,,,,,
NODE_41_length_294672_cov_11.735168,nomatch,,,,,,,,
NODE_42_length_294466_cov_11.446737,nomatch,,,,,,,,
